iter	Passed	Remaining
0	4	2984
1	9	2816
2	13	2760
3	17	2672
4	23	2737
5	27	2755
6	33	2814
7	38	2833
8	42	2821
9	47	2821
10	52	2807
11	57	2824
12	62	2822
13	67	2815
14	72	2812
15	76	2801
16	81	2800
17	85	2764
18	89	2725
19	92	2689
20	96	2648
21	99	2614
22	103	2584
23	106	2548
24	109	2518
25	112	2492
26	116	2481
27	120	2459
28	123	2436
29	126	2412
30	130	2391
31	134	2380
32	137	2365
33	141	2354
34	145	2347
35	149	2335
36	152	2320
37	155	2306
38	159	2294
39	162	2281
40	166	2270
41	170	2262
42	173	2253
43	177	2241
44	180	2228
45	183	2215
46	187	2204
47	190	2194
48	194	2186
49	197	2175
50	201	2165
51	204	2153
52	207	2140
53	210	2130
54	214	2123
55	217	2114
56	221	2107
57	224	2098
58	228	2096
59	232	2093
60	235	2085
61	239	2077
62	242	2069
63	246	2060
64	249	2052
65	252	2045
66	256	2036
67	259	2030
68	262	2021
69	265	2011
70	269	2004
71	272	1996
72	275	1989
73	278	1981
74	281	1972
75	285	1965
76	288	1957
77	291	1950
78	294	1942
79	297	1935
80	300	1928
81	304	1922
82	307	1918
83	311	1914
84	314	1908
85	318	1902
86	321	1896
87	324	1889
88	328	1883
89	331	1878
90	334	1871
91	337	1865
92	341	1859
93	344	1855
94	348	1849
95	351	1844
96	354	1840
97	358	1834
98	361	1829
99	364	1823
100	367	1817
101	371	1812
102	374	1806
103	378	1802
104	381	1798
105	384	1793
106	388	1790
107	391	1784
108	395	1779
109	398	1774
110	401	1770
111	405	1765
112	408	1761
113	411	1755
114	415	1750
115	418	1745
116	421	1740
117	424	1735
118	428	1730
119	431	1724
120	434	1720
121	437	1715
122	441	1711
123	444	1706
124	448	1703
125	451	1698
126	454	1693
127	457	1688
128	461	1684
129	464	1680
130	467	1675
131	471	1670
132	474	1666
133	477	1661
134	481	1657
135	484	1654
136	488	1649
137	491	1645
138	494	1640
139	497	1635
140	500	1630
141	504	1626
142	507	1622
143	511	1618
144	514	1613
145	517	1610
146	521	1605
147	524	1602
148	528	1598
149	531	1594
150	534	1590
151	538	1587
152	541	1582
153	545	1578
154	548	1574
155	551	1570
156	555	1566
157	558	1562
158	561	1558
159	565	1554
160	569	1552
161	572	1548
162	576	1544
163	579	1540
164	582	1536
165	586	1532
166	589	1528
167	592	1524
168	596	1520
169	600	1517
170	603	1513
171	606	1509
172	610	1505
173	613	1501
174	616	1497
175	619	1493
176	623	1489
177	626	1486
178	630	1481
179	633	1477
180	636	1473
181	639	1468
182	643	1465
183	646	1461
184	649	1457
185	652	1453
186	656	1449
187	659	1446
188	663	1442
189	666	1438
190	669	1433
191	672	1430
192	676	1426
193	679	1422
194	682	1418
195	685	1413
196	688	1409
197	692	1405
198	695	1401
199	699	1398
200	702	1394
201	705	1389
202	708	1386
203	711	1381
204	715	1378
205	719	1375
206	722	1371
207	725	1367
208	729	1364
209	732	1360
210	735	1356
211	739	1352
212	742	1349
213	745	1345
214	749	1341
215	752	1337
216	755	1333
217	759	1330
218	762	1326
219	765	1322
220	769	1318
221	771	1314
222	775	1310
223	778	1307
224	781	1303
225	785	1299
226	788	1295
227	791	1291
228	795	1288
229	798	1284
230	801	1280
231	804	1276
232	808	1273
233	811	1269
234	814	1265
235	818	1262
236	821	1258
237	825	1255
238	828	1251
239	831	1247
240	835	1244
241	838	1240
242	842	1237
243	845	1233
244	848	1229
245	851	1225
246	855	1222
247	858	1218
248	861	1214
249	865	1211
250	868	1207
251	871	1204
252	875	1200
253	878	1196
254	881	1193
255	885	1189
256	888	1185
257	891	1182
258	895	1178
259	898	1175
260	901	1171
261	905	1167
262	908	1164
263	911	1160
264	915	1156
265	918	1152
266	921	1149
267	924	1145
268	928	1142
269	931	1138
270	935	1135
271	938	1131
272	941	1128
273	945	1124
274	948	1120
275	951	1117
276	954	1113
277	958	1109
278	961	1106
279	965	1102
280	968	1099
281	971	1095
282	974	1092
283	978	1088
284	981	1085
285	985	1081
286	988	1077
287	991	1074
288	994	1070
289	998	1067
290	1001	1063
291	1005	1060
292	1008	1057
293	1012	1053
294	1015	1049
295	1018	1046
296	1022	1042
297	1025	1039
298	1028	1035
299	1032	1032
300	1035	1028
301	1038	1024
302	1041	1021
303	1045	1017
304	1048	1014
305	1051	1010
306	1055	1007
307	1059	1004
308	1062	1000
309	1065	996
310	1069	993
311	1072	989
312	1076	986
313	1079	982
314	1082	979
315	1086	976
316	1089	972
317	1092	968
318	1095	965
319	1098	961
320	1102	957
321	1105	954
322	1108	950
323	1112	947
324	1115	943
325	1118	939
326	1122	936
327	1126	933
328	1129	930
329	1132	926
330	1135	923
331	1139	919
332	1143	916
333	1146	913
334	1149	909
335	1152	905
336	1156	902
337	1159	899
338	1163	895
339	1166	892
340	1170	888
341	1173	885
342	1177	882
343	1180	878
344	1184	875
345	1187	871
346	1190	868
347	1194	864
348	1197	861
349	1200	857
350	1204	854
351	1207	850
352	1210	847
353	1214	843
354	1217	840
355	1221	836
356	1224	833
357	1227	829
358	1230	826
359	1234	822
360	1237	819
361	1240	815
362	1243	812
363	1247	808
364	1250	804
365	1253	801
366	1256	797
367	1260	794
368	1263	791
369	1267	787
370	1270	784
371	1274	780
372	1277	777
373	1280	774
374	1284	770
375	1287	766
376	1290	763
377	1294	759
378	1297	756
379	1300	752
380	1303	749
381	1307	745
382	1310	742
383	1313	739
384	1317	735
385	1320	732
386	1323	728
387	1326	724
388	1329	721
389	1333	717
390	1336	714
391	1339	711
392	1343	707
393	1346	704
394	1349	700
395	1353	697
396	1356	693
397	1360	690
398	1363	686
399	1366	683
400	1370	679
401	1373	676
402	1376	673
403	1380	669
404	1383	666
405	1386	662
406	1390	659
407	1393	655
408	1396	652
409	1400	648
410	1403	645
411	1406	641
412	1410	638
413	1413	635
414	1417	631
415	1420	628
416	1423	624
417	1427	621
418	1430	618
419	1434	614
420	1437	611
421	1440	607
422	1444	604
423	1448	601
424	1452	598
425	1456	594
426	1460	591
427	1464	588
428	1467	585
429	1471	581
430	1475	578
431	1479	575
432	1483	572
433	1487	568
434	1491	565
435	1495	562
436	1498	559
437	1502	555
438	1506	552
439	1510	549
440	1513	545
441	1516	542
442	1520	538
443	1523	535
444	1526	531
445	1530	528
446	1533	524
447	1536	521
448	1539	517
449	1543	514
450	1546	510
451	1549	507
452	1552	503
453	1556	500
454	1559	497
455	1563	493
456	1566	490
457	1569	486
458	1573	483
459	1576	479
460	1579	476
461	1583	472
462	1586	469
463	1589	466
464	1593	462
465	1596	459
466	1600	455
467	1603	452
468	1606	448
469	1609	445
470	1612	441
471	1616	438
472	1620	435
473	1623	431
474	1626	428
475	1630	424
476	1633	421
477	1637	417
478	1640	414
479	1643	410
480	1646	407
481	1650	403
482	1653	400
483	1656	397
484	1659	393
485	1662	390
486	1666	386
487	1669	383
488	1672	379
489	1675	376
490	1679	372
491	1682	369
492	1685	365
493	1689	362
494	1692	359
495	1696	355
496	1699	352
497	1702	348
498	1706	345
499	1709	341
500	1712	338
501	1716	335
502	1719	331
503	1722	328
504	1725	324
505	1729	321
506	1732	317
507	1736	314
508	1739	310
509	1742	307
510	1746	304
511	1749	300
512	1752	297
513	1756	293
514	1759	290
515	1762	286
516	1766	283
517	1769	280
518	1772	276
519	1775	273
520	1779	269
521	1782	266
522	1785	262
523	1788	259
524	1792	256
525	1795	252
526	1798	249
527	1801	245
528	1804	242
529	1808	238
530	1811	235
531	1814	231
532	1818	228
533	1821	225
534	1825	221
535	1828	218
536	1832	214
537	1835	211
538	1838	208
539	1841	204
540	1845	201
541	1848	197
542	1851	194
543	1855	190
544	1858	187
545	1862	184
546	1865	180
547	1869	177
548	1872	173
549	1875	170
550	1879	167
551	1882	163
552	1885	160
553	1889	156
554	1892	153
555	1896	150
556	1899	146
557	1903	143
558	1907	139
559	1911	136
560	1915	133
561	1918	129
562	1922	126
563	1926	122
564	1930	119
565	1933	116
566	1936	112
567	1940	109
568	1943	105
569	1946	102
570	1949	99
571	1953	95
572	1957	92
573	1960	88
574	1964	85
575	1967	81
576	1971	78
577	1974	75
578	1978	71
579	1982	68
580	1986	64
581	1989	61
582	1993	58
583	1997	54
584	2001	51
585	2005	47
586	2009	44
587	2012	41
588	2016	37
589	2019	34
590	2023	30
591	2027	27
592	2031	23
593	2035	20
594	2039	17
595	2043	13
596	2047	10
597	2051	6
598	2054	3
599	2058	0
